"playerID","awardID","yearID","lgID","tie","notes"
"sotoju01","TSN All-Star",2022,"NL",NA,"OF"
"rodriju01","TSN All-Star",2022,"AL",NA,"OF"
"harrimi04","TSN All-Star",2022,"NL",NA,"OF"
"troutmi01","TSN All-Star",2022,"AL",NA,"OF"
"bettsmo01","TSN All-Star",2022,"NL",NA,"OF"
"diazed04","TSN All-Star",2022,"NL",NA,"RP"
"claseem01","TSN All-Star",2022,"AL",NA,"RP"
"verlaju01","TSN All-Star",2022,"AL",NA,"SP"
"alcansa01","TSN All-Star",2022,"NL",NA,"SP"
"bogaexa01","TSN All-Star",2022,"AL",NA,"SS"
"turnetr01","TSN All-Star",2022,"NL",NA,"SS"
"acunaro01","TSN Major League Player of the Year",2023,"ML",NA,NA
"judgeaa01","TSN Major League Player of the Year",2022,"ML",NA,NA
"ohtansh01","TSN Major League Player of the Year",2021,"ML",NA,NA
"abreujo02","TSN Major League Player of the Year",2020,"ML",NA,NA
"troutmi01","TSN Major League Player of the Year",2019,"ML",NA,NA
"bettsmo01","TSN Major League Player of the Year",2018,"ML",NA,NA
"altuvjo01","TSN Major League Player of the Year",2017,"ML",NA,NA
"snellbl01","TSN Pitcher of the Year",2023,"NL",NA,NA
"colege01","TSN Pitcher of the Year",2023,"AL",NA,NA
"verlaju01","TSN Pitcher of the Year",2022,"AL",NA,NA
"alcansa01","TSN Pitcher of the Year",2022,"NL",NA,NA
"colege01","TSN Pitcher of the Year",2021,"AL",NA,NA
"scherma01","TSN Pitcher of the Year",2021,"NL",NA,NA
"degroja01","TSN Pitcher of the Year",2020,"NL",NA,NA
"biebesh01","TSN Pitcher of the Year",2020,"AL",NA,NA
"colege01","TSN Pitcher of the Year",2019,"AL",NA,NA
"degroja01","TSN Pitcher of the Year",2019,"NL",NA,NA
"salech01","TSN Pitcher of the Year",2018,"AL",NA,NA
"degroja01","TSN Pitcher of the Year",2018,"NL",NA,NA
"salech01","TSN Pitcher of the Year",2017,"AL",NA,NA
"scherma01","TSN Pitcher of the Year",2017,"NL",NA,NA
"willide03","TSN Reliever of the Year",2023,"NL",NA,NA
"bautife01","TSN Reliever of the Year",2023,"AL",NA,NA
"diazed04","TSN Reliever of the Year",2022,"NL",NA,NA
"claseem01","TSN Reliever of the Year",2022,"AL",NA,NA
"haderjo01","TSN Reliever of the Year",2021,"NL",NA,NA
"hendrli01","TSN Reliever of the Year",2021,"AL",NA,NA
"willide03","TSN Reliever of the Year",2020,"NL",NA,NA
"hendrli01","TSN Reliever of the Year",2020,"AL",NA,NA
"yateski01","TSN Reliever of the Year",2019,"NL",NA,NA
"hendrli01","TSN Reliever of the Year",2019,"AL",NA,NA
"diazed04","TSN Reliever of the Year",2018,"AL",NA,NA
"haderjo01","TSN Reliever of the Year",2018,"NL",NA,NA
"kimbrcr01","TSN Reliever of the Year",2017,"AL",NA,NA
"janseke01","TSN Reliever of the Year",2017,"NL",NA,NA
"seageco01","World Series MVP",2023,"ML",NA,NA
"penaje02","World Series MVP",2022,"ML",NA,NA
"smithle02","Reliever of the Year Award",1992,"NL",NA,NA
"wettejo01","Reliever of the Year Award",1996,"AL",NA,NA
"riverma01","Reliever of the Year Award",2004,"AL",NA,NA
"rodrifr03","Reliever of the Year Award",2008,"AL",NA,NA
"johnsji04","Reliever of the Year Award",2012,"AL",NA,NA
"tatisfe02","TSN All-Star",2021,"NL",NA,"SS"
"sotoju01","TSN All-Star",2021,"NL",NA,"OF"
"harpebr03","TSN All-Star",2021,"NL",NA,"OF"
"reynobr01","TSN All-Star",2021,"NL",NA,"OF"
"scherma01","TSN All-Star",2021,"NL",NA,"SP"
"haderjo01","TSN All-Star",2021,"NL",NA,"RP"
"friedma01","Silver Slugger",2021,"NL",NA,"P"
"ramirjo01","TSN All-Star",2021,"AL",NA,"3B"
"garciad02","ALCS MVP",2023,"AL",NA,NA
"penaje02","ALCS MVP",2022,"AL",NA,NA
"diazel01","All-Star Game MVP",2023,"NL",NA,NA
"stantmi03","All-Star Game MVP",2022,"AL",NA,NA
"guerrvl02","All-Star Game MVP",2021,"AL",NA,NA
"biebesh01","All-Star Game MVP",2019,"AL",NA,NA
"bregmal01","All-Star Game MVP",2018,"AL",NA,NA
"canoro01","All-Star Game MVP",2017,"AL",NA,NA
"correca01","Platinum Glove",2021,"AL",NA,NA
"arenano01","Platinum Glove",2021,"NL",NA,NA
"gordoal01","Platinum Glove",2020,"AL",NA,NA
"arenano01","Platinum Glove",2020,"NL",NA,NA
"chapmma01","Platinum Glove",2019,"AL",NA,NA
"arenano01","Platinum Glove",2019,"NL",NA,NA
"chapmma01","Platinum Glove",2018,"AL",NA,NA
"arenano01","Platinum Glove",2018,"NL",NA,NA
"buxtoby01","Platinum Glove",2017,"AL",NA,NA
"arenano01","Platinum Glove",2017,"NL",NA,NA
"rizzoan01","Platinum Glove",2016,"NL",NA,NA
"lindofr01","Platinum Glove",2016,"AL",NA,NA
"kiermke01","Platinum Glove",2015,"AL",NA,NA
"molinya01","Platinum Glove",2015,"NL",NA,NA
"gordoal01","Platinum Glove",2014,"AL",NA,NA
"molinya01","Platinum Glove",2014,"NL",NA,NA
"simmoan01","Platinum Glove",2013,"NL",NA,NA
"machama01","Platinum Glove",2013,"AL",NA,NA
"beltrad01","Platinum Glove",2012,"AL",NA,NA
"molinya01","Platinum Glove",2012,"NL",NA,NA
"beltrad01","Platinum Glove",2011,"AL",NA,NA
"molinya01","Platinum Glove",2011,"NL",NA,NA
"willide03","Reliever of the Year Award",2023,"NL",NA,NA
"bautife01","Reliever of the Year Award",2023,"AL",NA,NA
"diazed04","Reliever of the Year Award",2022,"NL",NA,NA
"claseem01","Reliever of the Year Award",2022,"AL",NA,NA
"judgeaa01","Roberto Clemente Award",2023,"ML",NA,NA
"turneju01","Roberto Clemente Award",2022,"ML",NA,NA
"carroco02","Rookie of the Year",2023,"NL",NA,NA
"hendegu01","Rookie of the Year",2023,"AL",NA,NA
"rodriju01","Rookie of the Year",2022,"AL",NA,NA
"harrimi04","Rookie of the Year",2022,"NL",NA,NA
"diazya01","Silver Slugger",2023,"AL",NA,"1B"
"olsonma02","Silver Slugger",2023,"NL",NA,"1B"
"arraelu01","Silver Slugger",2023,"NL",NA,"2B"
"semiema01","Silver Slugger",2023,"AL",NA,"2B"
"deverra01","Silver Slugger",2023,"AL",NA,"3B"
"rileyau01","Silver Slugger",2023,"NL",NA,"3B"
"contrwi02","Silver Slugger",2023,"NL",NA,"C"
"rutscad01","Silver Slugger",2023,"AL",NA,"C"
"harpebr03","Silver Slugger",2023,"NL",NA,"DH"
"ohtansh01","Silver Slugger",2023,"AL",NA,"DH"
"acunaro01","Silver Slugger",2023,"NL",NA,"OF"
"bettsmo01","Silver Slugger",2023,"NL",NA,"OF"
"roberlu01","Silver Slugger",2023,"AL",NA,"OF"
"rodriju01","Silver Slugger",2023,"AL",NA,"OF"
"sotoju01","Silver Slugger",2023,"NL",NA,"OF"
"tuckeky01","Silver Slugger",2023,"AL",NA,"OF"
"lindofr01","Silver Slugger",2023,"NL",NA,"SS"
"seageco01","Silver Slugger",2023,"AL",NA,"SS"
"bellico01","Silver Slugger",2023,"NL",NA,"UT"
"hendegu01","Silver Slugger",2023,"AL",NA,"UT"
"goldspa01","Silver Slugger",2022,"NL",NA,"1B"
"lowena01","Silver Slugger",2022,"AL",NA,"1B"
"altuvjo01","Silver Slugger",2022,"AL",NA,"2B"
"mcneije01","Silver Slugger",2022,"NL",NA,"2B"
"arenano01","Silver Slugger",2022,"NL",NA,"3B"
"ramirjo01","Silver Slugger",2022,"AL",NA,"3B"
"kirkal01","Silver Slugger",2022,"AL",NA,"C"
"realmjt01","Silver Slugger",2022,"NL",NA,"C"
"alvaryo01","Silver Slugger",2022,"AL",NA,"DH"
"belljo02","Silver Slugger",2022,"NL",NA,"DH"
"bettsmo01","Silver Slugger",2022,"NL",NA,"OF"
"judgeaa01","Silver Slugger",2022,"AL",NA,"OF"
"rodriju01","Silver Slugger",2022,"AL",NA,"OF"
"schwaky01","Silver Slugger",2022,"NL",NA,"OF"
"sotoju01","Silver Slugger",2022,"NL",NA,"OF"
"troutmi01","Silver Slugger",2022,"AL",NA,"OF"
"bogaexa01","Silver Slugger",2022,"AL",NA,"SS"
"turnetr01","Silver Slugger",2022,"NL",NA,"SS"
"arraelu01","Silver Slugger",2022,"AL",NA,"UT"
"drurybr01","Silver Slugger",2022,"NL",NA,"UT"
"diazya01","TSN All-Star",2023,"AL",NA,"1B"
"freemfr01","TSN All-Star",2023,"NL",NA,"1B"
"albieoz01","TSN All-Star",2023,"NL",NA,"2B"
"semiema01","TSN All-Star",2023,"AL",NA,"2B"
"ramirjo01","TSN All-Star",2023,"AL",NA,"3B"
"swansda01","TSN All-Star",2023,"NL",NA,"3B"
"quiseda01","Reliever of the Year Award",1980,"AL",NA,NA
"kineris01","Gold Glove",2020,"AL",NA,"3B"
"crawfjp01","Gold Glove",2020,"AL",NA,"SS"
"roberlu01","Gold Glove",2020,"AL",NA,"LF"
"gordoal01","Gold Glove",2020,"AL",NA,"CF"
"gallojo01","Gold Glove",2020,"AL",NA,"RF"
"cannigr01","Gold Glove",2020,"AL",NA,"P"
"barnhtu01","Gold Glove",2020,"NL",NA,"C"
"rizzoan01","Gold Glove",2020,"NL",NA,"1B"
"wongko01","Gold Glove",2020,"NL",NA,"2B"
"arenano01","Gold Glove",2020,"NL",NA,"3B"
"baezja01","Gold Glove",2020,"NL",NA,"SS"
"oneilty01","Gold Glove",2020,"NL",NA,"LF"
"grishtr01","Gold Glove",2020,"NL",NA,"CF"
"bettsmo01","Gold Glove",2020,"NL",NA,"RF"
"friedma01","Gold Glove",2020,"NL",NA,"P"
"seageco01","World Series MVP",2020,"ML",NA,NA
"arozara01","ALCS MVP",2020,"AL",NA,NA
"seageco01","NLCS MVP",2020,"NL",NA,NA
"ozunama01","Outstanding DH Award",2020,NA,NA,NA
"hendrli01","Reliever of the Year Award",2020,"AL",NA,NA
"hosmeer01","All-Star Game MVP",2016,"AL",NA,NA
"garciad02","Babe Ruth Award",2023,"ML",NA,NA
"penaje02","Babe Ruth Award",2022,"ML",NA,NA
"freemfr01","Babe Ruth Award",2021,"ML",NA,NA
"arozara01","Babe Ruth Award",2020,"ML",NA,NA
"sotoju01","Babe Ruth Award",2019,"ML","Y",NA
"strasst01","Babe Ruth Award",2019,"ML","Y",NA
"priceda01","Babe Ruth Award",2018,"ML",NA,NA
"altuvjo01","Babe Ruth Award",2017,"ML","Y",NA
"verlaju01","Babe Ruth Award",2017,"ML","Y",NA
"lestejo01","Babe Ruth Award",2016,"ML",NA,NA
"daviswa01","Babe Ruth Award",2015,"AL",NA,NA
"bumgama01","Babe Ruth Award",2014,"NL",NA,NA
"ortizda01","Babe Ruth Award",2013,"AL",NA,NA
"sandopa01","Babe Ruth Award",2012,"NL",NA,NA
"bellico01","Comeback Player of the Year",2023,"NL",NA,NA
"hendrli01","Comeback Player of the Year",2023,"AL",NA,NA
"pujolal01","Comeback Player of the Year",2022,"NL",NA,NA
"verlaju01","Comeback Player of the Year",2022,"AL",NA,NA
"poseybu01","Comeback Player of the Year",2021,"NL",NA,NA
"mancitr01","Comeback Player of the Year",2021,"AL",NA,NA
"snellbl01","Cy Young Award",2023,"NL",NA,NA
"colege01","Cy Young Award",2023,"AL",NA,NA
"verlaju01","Cy Young Award",2022,"AL",NA,NA
"alcansa01","Cy Young Award",2022,"NL",NA,NA
"lowena01","Gold Glove",2023,"AL",NA,"1B"
"walkech02","Gold Glove",2023,"NL",NA,"1B"
"gimenan01","Gold Glove",2023,"AL",NA,"2B"
"hoernni01","Gold Glove",2023,"NL",NA,"2B"
"chapmma01","Gold Glove",2023,"AL",NA,"3B"
"hayeske01","Gold Glove",2023,"NL",NA,"3B"
"heimjo01","Gold Glove",2023,"AL",NA,"C"
"morenga01","Gold Glove",2023,"NL",NA,"C"
"doylebr02","Gold Glove",2023,"NL",NA,"OF"
"garciad02","Gold Glove",2023,"AL",NA,"OF"
"happia01","Gold Glove",2023,"NL",NA,"OF"
"kiermke01","Gold Glove",2023,"AL",NA,"OF"
"kwanst01","Gold Glove",2023,"AL",NA,"OF"
"tatisfe02","Gold Glove",2023,"NL",NA,"OF"
"berrijo01","Gold Glove",2023,"AL",NA,"P"
"wheelza01","Gold Glove",2023,"NL",NA,"P"
"swansda01","Gold Glove",2023,"NL",NA,"SS"
"volpean01","Gold Glove",2023,"AL",NA,"SS"
"dubonma01","Gold Glove",2023,"AL",NA,"UT"
"kimha01","Gold Glove",2023,"NL",NA,"UT"
"guerrvl02","Gold Glove",2022,"AL",NA,"1B"
"walkech02","Gold Glove",2022,"NL",NA,"1B"
"gimenan01","Gold Glove",2022,"AL",NA,"2B"
"rodgebr02","Gold Glove",2022,"NL",NA,"2B"
"arenano01","Gold Glove",2022,"NL",NA,"3B"
"uriasra01","Gold Glove",2022,"AL",NA,"3B"
"realmjt01","Gold Glove",2022,"NL",NA,"C"
"trevijo01","Gold Glove",2022,"AL",NA,"C"
"bettsmo01","Gold Glove",2022,"NL",NA,"OF"
"grishtr01","Gold Glove",2022,"NL",NA,"OF"
"happia01","Gold Glove",2022,"NL",NA,"OF"
"kwanst01","Gold Glove",2022,"AL",NA,"OF"
"strawmy01","Gold Glove",2022,"AL",NA,"OF"
"tuckeky01","Gold Glove",2022,"AL",NA,"OF"
"biebesh01","Gold Glove",2022,"AL",NA,"P"
"friedma01","Gold Glove",2022,"NL",NA,"P"
"penaje02","Gold Glove",2022,"AL",NA,"SS"
"swansda01","Gold Glove",2022,"NL",NA,"SS"
"donovbr01","Gold Glove",2022,"NL",NA,"UT"
"lemahdj01","Gold Glove",2022,"AL",NA,"UT"
"acunaro01","Hank Aaron Award",2023,"NL",NA,NA
"ohtansh01","Hank Aaron Award",2023,"AL",NA,NA
"judgeaa01","Hank Aaron Award",2022,"AL",NA,NA
"goldspa01","Hank Aaron Award",2022,"NL",NA,NA
"gordode01","Hutch Award",2019,"ML",NA,NA
"piscost01","Hutch Award",2018,"ML",NA,NA
"diekmja01","Hutch Award",2017,"ML",NA,NA
"mcgowdu01","Hutch Award",2016,"ML",NA,NA
"wainwad01","Hutch Award",2015,"ML",NA,NA
"gordoal01","Hutch Award",2014,"ML",NA,NA
"ibanera01","Hutch Award",2013,"ML",NA,NA
"goldspa01","Lou Gehrig Memorial Award",2023,"ML",NA,NA
"crawfbr01","Lou Gehrig Memorial Award",2022,"ML",NA,NA
"perezsa02","Lou Gehrig Memorial Award",2021,"ML",NA,NA
"piscost01","Lou Gehrig Memorial Award",2020,"ML",NA,NA
"ramirjo01","TSN All-Star",2018,"AL",NA,"3B"
"freemfr01","Gold Glove",2018,"NL","Y","1B"
"troutmi01","Most Valuable Player",2019,"AL",NA,NA
"bellico01","Most Valuable Player",2019,"NL",NA,NA
"verlaju01","Cy Young Award",2019,"AL",NA,NA
"degroja01","Cy Young Award",2019,"NL",NA,NA
"alvaryo01","Rookie of the Year",2019,"AL",NA,NA
"alonspe01","Rookie of the Year",2019,"NL",NA,NA
"carraca01","Roberto Clemente Award",2019,"ML",NA,NA
"troutmi01","Hank Aaron Award",2019,"AL",NA,NA
"yelicch01","Hank Aaron Award",2019,"NL",NA,NA
"garvemi01","Silver Slugger",2019,"AL",NA,"C"
"willide03","Reliever of the Year Award",2020,"NL",NA,NA
"perezsa02","TSN All-Star",2020,"AL",NA,"C"
"abreujo02","TSN All-Star",2020,"AL",NA,"1B"
"lemahdj01","TSN All-Star",2020,"AL",NA,"2B"
"anderti01","TSN All-Star",2020,"AL",NA,"SS"
"troutmi01","TSN All-Star",2020,"AL",NA,"OF"
"hernate01","TSN All-Star",2020,"AL",NA,"OF"
"springe01","TSN All-Star",2020,"AL",NA,"OF"
"cruzne02","TSN All-Star",2020,"AL",NA,"DH"
"biebesh01","TSN All-Star",2020,"AL",NA,"SP"
"hendrli01","TSN All-Star",2020,"AL",NA,"RP"
"realmjt01","TSN All-Star",2020,"NL",NA,"C"
"freemfr01","TSN All-Star",2020,"NL",NA,"1B"
"solando01","TSN All-Star",2020,"NL",NA,"2B"
"machama01","TSN All-Star",2020,"NL",NA,"3B"
"tatisfe02","TSN All-Star",2020,"NL",NA,"SS"
"bettsmo01","TSN All-Star",2020,"NL",NA,"OF"
"sotoju01","TSN All-Star",2020,"NL",NA,"OF"
"acunaro01","TSN All-Star",2020,"NL",NA,"OF"
"degroja01","TSN All-Star",2020,"NL",NA,"SP"
"willide03","TSN All-Star",2020,"NL",NA,"RP"
"ozunama01","Silver Slugger",2020,"NL",NA,"DH"
"ramirjo01","TSN All-Star",2020,"AL",NA,"3B"
"ozunama01","TSN All-Star",2020,"NL",NA,"DH"
"ohtansh01","Most Valuable Player",2021,"AL",NA,NA
"harpebr03","Most Valuable Player",2021,"NL",NA,NA
"rayro02","Cy Young Award",2021,"AL",NA,NA
"burneco01","Cy Young Award",2021,"NL",NA,NA
"arozara01","Rookie of the Year",2021,"AL",NA,NA
"indiajo01","Rookie of the Year",2021,"NL",NA,NA
"cruzne02","Roberto Clemente Award",2021,"ML",NA,NA
"guerrvl02","Hank Aaron Award",2021,"AL",NA,NA
"harpebr03","Hank Aaron Award",2021,"NL",NA,NA
"perezsa02","Silver Slugger",2021,"AL",NA,"C"
"guerrvl02","Silver Slugger",2021,"AL",NA,"1B"
"semiema01","Silver Slugger",2021,"AL",NA,"2B"
"deverra01","Silver Slugger",2021,"AL",NA,"3B"
"bogaexa01","SIlver Slugger",2021,"AL",NA,"SS"
"mullice01","Silver Slugger",2021,"AL",NA,"OF"
"judgeaa01","Silver Slugger",2021,"AL",NA,"OF"
"hernate01","Silver Slugger",2021,"AL",NA,"OF"
"ohtansh01","Silver Slugger",2021,"AL",NA,"DH"
"poseybu01","Silver Slugger",2021,"NL",NA,"C"
"freemfr01","Silver Slugger",2021,"NL",NA,"1B"
"albieoz01","Silver Slugger",2021,"NL",NA,"2B"
"rileyau01","Silver Slugger",2021,"NL",NA,"3B"
"tatisfe02","Silver Slugger",2021,"NL",NA,"SS"
"harpebr03","Silver Slugger",2021,"NL",NA,"OF"
"casteni01","Silver Slugger",2021,"NL",NA,"OF"
"sotoju01","Silver Slugger",2021,"NL",NA,"OF"
"murphse01","Gold Glove",2021,"AL",NA,"C"
"gourryu01","Gold Glove",2021,"AL",NA,"1B"
"semiema01","Gold Glove",2021,"AL",NA,"2B"
"chapmma01","Gold Glove",2021,"AL",NA,"3B"
"correca01","Gold Glove",2021,"AL",NA,"SS"
"taylomi02","Gold Glove",2021,"AL",NA,"LF"
"gallojo01","Gold Glove",2021,"AL",NA,"CF"
"beninan01","Gold Glove",2021,"AL",NA,"RF"
"keuchda01","Gold Glove",2021,"AL",NA,"P"
"stallja01","Gold Glove",2021,"NL",NA,"C"
"goldspa01","Gold Glove",2021,"NL",NA,"1B"
"edmanto01","Gold Glove",2021,"NL",NA,"2B"
"arenano01","Gold Glove",2021,"NL",NA,"3B"
"crawfbr01","Gold Glove",2021,"NL",NA,"SS"
"oneilty01","Gold Glove",2021,"NL",NA,"LF"
"duvalad01","Gold Glove",2021,"NL",NA,"CF"
"baderha01","Gold Glove",2021,"NL",NA,"RF"
"friedma01","Gold Glove",2021,"NL",NA,"P"
"solerjo01","World Series MVP",2021,"ML",NA,NA
"alvaryo01","ALCS MVP",2021,"AL",NA,NA
"rosared01","NLCS MVP",2021,"NL",NA,NA
"ohtansh01","Outstanding DH Award",2021,NA,NA,NA
"hendrli01","Reliever of the Year Award",2021,"AL",NA,NA
"haderjo01","Reliever of the Year Award",2021,"NL",NA,NA
"perezsa02","TSN All-Star",2021,"AL",NA,"C"
"guerrvl02","TSN All-Star",2021,"AL",NA,"1B"
"semiema01","TSN All-Star",2021,"AL",NA,"2B"
"correca01","TSN All-Star",2021,"AL",NA,"SS"
"judgeaa01","TSN All-Star",2021,"AL",NA,"OF"
"mullice01","TSN All-Star",2021,"AL",NA,"OF"
"tuckeky01","TSN All-Star",2021,"AL",NA,"OF"
"ohtansh01","TSN All-Star",2021,"AL",NA,"DH"
"colege01","TSN All-Star",2021,"AL",NA,"SP"
"hendrli01","TSN All-Star",2021,"AL",NA,"RP"
"realmjt01","TSN All-Star",2021,"NL",NA,"C"
"freemfr01","TSN All-Star",2021,"NL",NA,"1B"
"albieoz01","TSN All-Star",2021,"NL",NA,"2B"
"machama01","TSN All-Star",2021,"NL",NA,"3B"
"ozunama01","Gold Glove",2017,"NL",NA,"LF"
"inciaen01","Gold Glove",2017,"NL",NA,"CF"
"heywaja01","Gold Glove",2017,"NL",NA,"RF"
"greinza01","Gold Glove",2017,"NL",NA,"P"
"springe01","World Series MVP",2017,"ML",NA,NA
"verlaju01","ALCS MVP",2017,"AL",NA,NA
"santaca01","Silver Slugger",2019,"AL",NA,"1B"
"lemahdj01","Silver Slugger",2019,"AL",NA,"2B"
"bregmal01","Silver Slugger",2019,"AL",NA,"3B"
"bogaexa01","SIlver Slugger",2019,"AL",NA,"SS"
"springe01","Silver Slugger",2019,"AL",NA,"OF"
"troutmi01","Silver Slugger",2019,"AL",NA,"OF"
"bettsmo01","Silver Slugger",2019,"AL",NA,"OF"
"cruzne02","Silver Slugger",2019,"AL",NA,"DH"
"realmjt01","Silver Slugger",2019,"NL",NA,"C"
"freemfr01","Silver Slugger",2019,"NL",NA,"1B"
"albieoz01","Silver Slugger",2019,"NL",NA,"2B"
"rendoan01","Silver Slugger",2019,"NL",NA,"3B"
"storytr01","Silver Slugger",2019,"NL",NA,"SS"
"acunaro01","Silver Slugger",2019,"NL",NA,"OF"
"yelicch01","Silver Slugger",2019,"NL",NA,"OF"
"bellico01","Silver Slugger",2019,"NL",NA,"OF"
"greinza01","Silver Slugger",2019,"NL",NA,"P"
"perezro02","Gold Glove",2019,"AL",NA,"C"
"olsonma02","Gold Glove",2019,"AL",NA,"1B"
"sanchca01","Gold Glove",2019,"AL",NA,"2B"
"chapmma01","Gold Glove",2019,"AL",NA,"3B"
"lindofr01","Gold Glove",2019,"AL",NA,"SS"
"gordoal01","Gold Glove",2019,"AL",NA,"LF"
"kiermke01","Gold Glove",2019,"AL",NA,"CF"
"bettsmo01","Gold Glove",2019,"AL",NA,"RF"
"leakemi01","Gold Glove",2019,"AL",NA,"P"
"realmjt01","Gold Glove",2019,"NL",NA,"C"
"rizzoan01","Gold Glove",2019,"NL",NA,"1B"
"wongko01","Gold Glove",2019,"NL",NA,"2B"
"arenano01","Gold Glove",2019,"NL",NA,"3B"
"ahmedni01","Gold Glove",2019,"NL",NA,"SS"
"cainlo01","Gold Glove",2019,"NL",NA,"LF"
"bellico01","Gold Glove",2019,"NL",NA,"CF"
"peralda01","Gold Glove",2019,"NL",NA,"RF"
"greinza01","Gold Glove",2019,"NL",NA,"P"
"strasst01","World Series MVP",2019,"ML",NA,NA
"altuvjo01","ALCS MVP",2019,"AL",NA,NA
"kendrho01","NLCS MVP",2019,"NL",NA,NA
"carraca01","Comeback Player of the Year",2019,"AL",NA,NA
"donaljo02","Comeback Player of the Year",2019,"NL",NA,NA
"cruzne02","Outstanding DH Award",2019,NA,NA,NA
"chapmar01","Reliever of the Year Award",2019,"AL",NA,NA
"haderjo01","Reliever of the Year Award",2019,"NL",NA,NA
"vazquch01","TSN All-Star",2019,"AL",NA,"C"
"olsonma02","TSN All-Star",2019,"AL","Y","1B"
"lemahdj01","TSN All-Star",2019,"AL",NA,"2B"
"semiema01","TSN All-Star",2019,"AL",NA,"SS"
"troutmi01","TSN All-Star",2019,"AL",NA,"OF"
"springe01","TSN All-Star",2019,"AL",NA,"OF"
"bettsmo01","TSN All-Star",2019,"AL",NA,"OF"
"cruzne02","TSN All-Star",2019,"AL",NA,"DH"
"colege01","TSN All-Star",2019,"AL",NA,"SP"
"hendrli01","TSN All-Star",2019,"AL",NA,"RP"
"realmjt01","TSN All-Star",2019,"NL",NA,"C"
"freemfr01","TSN All-Star",2019,"NL",NA,"1B"
"marteke01","TSN All-Star",2019,"NL",NA,"2B"
"rendoan01","TSN All-Star",2019,"NL",NA,"3B"
"storytr01","TSN All-Star",2019,"NL",NA,"SS"
"bellico01","TSN All-Star",2019,"NL",NA,"OF"
"yelicch01","TSN All-Star",2019,"NL",NA,"OF"
"acunaro01","TSN All-Star",2019,"NL",NA,"OF"
"degroja01","TSN All-Star",2019,"NL",NA,"SP"
"yateski01","TSN All-Star",2019,"NL",NA,"RP"
"bregmal01","TSN All-Star",2019,"AL",NA,"3B"
"santaca01","TSN All-Star",2019,"AL","Y","1B"
"abreujo02","Most Valuable Player",2020,"AL",NA,NA
